Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
83.0213863560072,C00086,M+Na [1+],286.8835,0.000194403992807679,EC00031
98.9954710387283,C00086,M+K [1+],287.1215,4.9721271707881e-05,EC00031
325.112957449347,C00089,M-H2O+H [1+],277.8195,6.94365770073091e-05,EC00033
325.113120232059,C00089,M-H2O+H [1+],324.472,0.000232219288989199,EC00034
343.123600572039,C00089,M+H [1+],325.041,0.000113026039002762,EC00034
163.060094741005,C00095,M-H2O+H [1+],324.459,2.82742350066201e-05,EC0009
181.071016974499,C00095,M+H [1+],348.586,0.000350974499014001,EC0009
181.071018883403,C00095,M+H [1+],438.0305,0.000352883403024862,EC0009
198.097316033729,C00095,M+NH4 [1+],326.893,0.000103033728976243,EC0009
203.052682945384,C00095,M+Na [1+],1724.628,7.49453840001024e-05,EC00010
203.05271998889,C00095,M+Na [1+],277.978,0.000111988890012071,EC00011
203.052728767939,C00095,M+Na [1+],359.36,0.000120767938994959,EC0009
203.052743114194,C00095,M+Na [1+],316.6515,0.000135114193994923,EC0009
219.026700339592,C00095,M+K [1+],277.1125,0.000152339592006001,EC00011
219.026715441331,C00095,M+K [1+],314.3865,0.000167441331001328,EC0009
91.0388998333437,C00095,M+2H [2+],348.515,7.11666562978053e-05,EC0009
91.038935064777,C00095,M+2H [2+],438.0865,3.59352230105969e-05,EC0009
588.071506364016,C00096,M-H2O+H [1+],277.375,0.00232290375402044,EC00035
588.071540935145,C00096,M-H2O+H [1+],319.696,0.00228833262508488,EC00036
112.037086789862,C00099,M+Na [1+],274.622,0.000190316861989004,EC00012
90.054866238269,C00099,M+H [1+],322.338,8.82347310096065e-05,EC00012
90.0548831415654,C00099,M+H [1+],292.643,7.13314346114657e-05,EC00012
125.021075643973,C00109,M+Na [1+],513.402,0.000163585973012914,EC00037
125.021131775763,C00109,M+Na [1+],474.9575,0.000219717763002336,EC00037
115.036703832205,C00116,M+Na [1+],290.8045,0.000141710205014078,EC00038
131.010631152139,C00116,M+K [1+],291.0055,0.000129030139021324,EC00038
245.095565553449,C00120,M+H [1+],817.796,0.000126475449008012,EC00039
267.077995802955,C00120,M+Na [1+],817.796,0.00061472495497128,EC00039
168.086534893191,C00121,M+NH4 [1+],436.114,0.000111536809015433,EC00040
173.042485142006,C00121,M+Na [1+],311.846,0.000443712006017449,EC00041
173.042765716879,C00121,M+Na [1+],437.086,0.000724286879005831,EC00040
114.091521203072,C00123,M-H2O+H [1+],799.296,0.000216071302020282,EC00042
132.102018055121,C00123,M+H [1+],586.7255,0.0001133901210153,EC00043
132.102022956422,C00123,M+H [1+],642.2735,0.000118291422012362,EC00043
132.102044945295,C00123,M+H [1+],555.7775,0.000140280295028106,EC00043
132.102050948737,C00123,M+H [1+],485.555,0.000146283737024078,EC00043
132.102094278949,C00123,M+H [1+],360.81,0.000189613949032719,EC00043
132.102111112123,C00123,M+H [1+],446.6505,0.000206447123019871,EC00043
154.084274977351,C00123,M+Na [1+],585.8155,0.000428312351004934,EC00043
154.084289694547,C00123,M+Na [1+],639.753,0.000443029547028573,EC00043
154.084340189622,C00123,M+Na [1+],555.523,0.000493524622015684,EC00043
163.060094741005,C00124,M-H2O+H [1+],324.459,2.82742350066201e-05,EC0009
181.071016974499,C00124,M+H [1+],348.586,0.000350974499014001,EC0009
181.071018883403,C00124,M+H [1+],438.0305,0.000352883403024862,EC0009
198.097316033729,C00124,M+NH4 [1+],326.893,0.000103033728976243,EC0009
203.052682945384,C00124,M+Na [1+],1724.628,7.49453840001024e-05,EC00010
203.05271998889,C00124,M+Na [1+],277.978,0.000111988890012071,EC00011
203.052728767939,C00124,M+Na [1+],359.36,0.000120767938994959,EC0009
203.052743114194,C00124,M+Na [1+],316.6515,0.000135114193994923,EC0009
219.026700339592,C00124,M+K [1+],277.1125,0.000152339592006001,EC00011
219.026715441331,C00124,M+K [1+],314.3865,0.000167441331001328,EC0009
91.0388998333437,C00124,M+2H [2+],348.515,7.11666562978053e-05,EC0009
91.038935064777,C00124,M+2H [2+],438.0865,3.59352230105969e-05,EC0009
307.083709435796,C00127,M+2H [2+],307.012,0.000452486796007179,EC00044
307.083717298231,C00127,M+2H [2+],631.1435,0.000460349231047985,EC00045
613.159381413078,C00127,M+H [1+],306.953,0.000143515077979828,EC00044
613.159551575863,C00127,M+H [1+],632.123,0.000313677863005069,EC00045
635.141269401854,C00127,M+Na [1+],631.665,8.95038539283632e-05,EC00045
635.141637581631,C00127,M+Na [1+],306.8165,0.000457683630997963,EC00044
156.076874881756,C00135,M+H [1+],310.05,0.000122334756014197,EC00046
156.077143933068,C00135,M+H [1+],274.636,0.00039138606800293,EC00046
156.077282830585,C00135,M+H [1+],252.742,0.000530283585021607,EC00046
163.060094741005,C00137,M-H2O+H [1+],324.459,3.01582350061835e-05,EC0009
181.071016974499,C00137,M+H [1+],348.586,0.000352858499013564,EC0009
181.071018883403,C00137,M+H [1+],438.0305,0.000354767403024425,EC0009
198.097316033729,C00137,M+NH4 [1+],326.893,0.000104917728975806,EC0009
203.052682945384,C00137,M+Na [1+],1724.628,7.68293839996659e-05,EC00010
203.05271998889,C00137,M+Na [1+],277.978,0.000113872890011635,EC00011
203.052728767939,C00137,M+Na [1+],359.36,0.000122651938994522,EC0009
203.052743114194,C00137,M+Na [1+],316.6515,0.000136998193994486,EC0009
219.026700339592,C00137,M+K [1+],277.1125,0.000154223592005565,EC00011
219.026715441331,C00137,M+K [1+],314.3865,0.000169325331000891,EC0009
91.0388998333437,C00137,M+2H [2+],348.515,7.02246562980235e-05,EC0009
91.038935064777,C00137,M+2H [2+],438.0865,3.49932230108152e-05,EC0009
244.079420949045,C00140,M+Na [1+],277.919,0.000265732044994138,EC00047
364.065396842456,C00144,M+H [1+],305.792,0.00012188145598202,EC00048
116.070749397183,C00148,M+H [1+],596.391,0.000144860182984985,EC00049
116.070764538038,C00148,M+H [1+],291.197,0.000160001037997404,EC00050
116.070787225366,C00148,M+H [1+],567.121,0.000182688365995887,EC00049
116.070795555665,C00148,M+H [1+],324.035,0.000191018664992271,EC00050
116.070828443871,C00148,M+H [1+],443.706,0.000223906870985502,EC00049
138.052755644762,C00148,M+Na [1+],597.377,0.000209107761975247,EC00049
138.053122231004,C00148,M+Na [1+],290.4945,0.000575694003998706,EC00050
154.027032264088,C00148,M+K [1+],290.55,0.000545727087995829,EC00050
98.0600094485112,C00148,M-H2O+H [1+],597.388,4.44474119376537e-06,EC00049
135.028165289266,C00149,M+H [1+],438.1855,0.000634012733968348,EC00051
152.055075099176,C00149,M+NH4 [1+],438.8535,0.000271202823995509,EC00051
152.055138345248,C00149,M+NH4 [1+],332.277,0.000207956752007021,EC00052
157.011206472652,C00149,M+Na [1+],314.391,0.000465170652006464,EC00052
115.050241065878,C00152,M-H2O+H [1+],436.653,7.24671079979089e-05,EC00053
105.044751877539,C00153,M-H2O+H [1+],718.043,6.25867690047244e-05,EC00054
123.055396734029,C00153,M+H [1+],308.8085,0.000107910029001346,EC00055
123.055473077575,C00153,M+H [1+],438.5435,0.000184253575000071,EC00056
136.043293237039,C00155,M+H [1+],306.796,0.000617237038994745,EC00057
175.02404747128,C00158,M-H2O+H [1+],530.7785,0.000368394509990821,EC00058
175.024066846648,C00158,M-H2O+H [1+],338.905,0.000387769877988831,EC00059
193.034464190398,C00158,M+H [1+],530.7405,0.000185580398010643,EC00058
193.0344816297,C00158,M+H [1+],339.032,0.000203019699995366,EC00059
210.061008864527,C00158,M+NH4 [1+],530.706,0.000183254526973542,EC00058
210.061025592308,C00158,M+NH4 [1+],339.48,0.000199982307975688,EC00059
210.061079890316,C00158,M+NH4 [1+],446.166,0.0002542803159713,EC00058
215.016384527159,C00158,M+Na [1+],336.815,0.000163917158999993,EC00059
215.01639792765,C00158,M+Na [1+],530.852,0.000177317649985298,EC00058
215.016421008705,C00158,M+Na [1+],446.922,0.000200398705004545,EC00058
230.990096755849,C00158,M+K [1+],531.694,6.38541509943025e-05,EC00058
230.990368450722,C00158,M+K [1+],336.432,0.000207840721998309,EC00059
163.060094741005,C00159,M-H2O+H [1+],324.459,3.01582350061835e-05,EC0009
181.071016974499,C00159,M+H [1+],348.586,0.000352858499013564,EC0009
181.071018883403,C00159,M+H [1+],438.0305,0.000354767403024425,EC0009
198.097316033729,C00159,M+NH4 [1+],326.893,0.000104917728975806,EC0009
203.052682945384,C00159,M+Na [1+],1724.628,7.68293839996659e-05,EC00010
203.05271998889,C00159,M+Na [1+],277.978,0.000113872890011635,EC00011
203.052728767939,C00159,M+Na [1+],359.36,0.000122651938994522,EC0009
203.052743114194,C00159,M+Na [1+],316.6515,0.000136998193994486,EC0009
219.026700339592,C00159,M+K [1+],277.1125,0.000154223592005565,EC00011
219.026715441331,C00159,M+K [1+],314.3865,0.000169325331000891,EC0009
91.0388998333437,C00159,M+2H [2+],348.515,7.02246562980235e-05,EC0009
91.038935064777,C00159,M+2H [2+],438.0865,3.49932230108152e-05,EC0009
125.021075643973,C00164,M+Na [1+],513.402,0.000163585973012914,EC00037
125.021131775763,C00164,M+Na [1+],474.9575,0.000219717763002336,EC00037
147.044453878076,C00166,M-H2O+H [1+],649.478,0.000433289306016604,EC00060
165.054440003308,C00166,M+H [1+],649.508,0.000180118691986308,EC00060
165.054466957413,C00166,M+H [1+],344.2425,0.000153164586976118,EC00061
165.054497743427,C00166,M+H [1+],1255.632,0.00012237857299624,EC00062
165.054635445046,C00166,M+H [1+],782.27,1.53230460000486e-05,EC00063
182.081403366075,C00166,M+NH4 [1+],649.6135,0.00023624407498346,EC00060
182.08143703503,C00166,M+NH4 [1+],344.3555,0.000269913029995905,EC00061
298.097051211927,C00170,M+H [1+],731.716,0.000215150927033392,EC00064
127.049776277875,C00178,M+H [1+],700.8695,0.000427168125000321,EC00065
168.086534893191,C00181,M+NH4 [1+],436.114,0.000111536809015433,EC00040
173.042485142006,C00181,M+Na [1+],311.846,0.000443712006017449,EC00041
173.042765716879,C00181,M+Na [1+],437.086,0.000724286879005831,EC00040
100.075707919952,C00183,M-H2O+H [1+],723.062,5.28521819944672e-05,EC00066
118.086388128051,C00183,M+H [1+],656.613,0.000133527050991233,EC00066
118.086388331047,C00183,M+H [1+],697.8735,0.000133730046997016,EC00066
118.086415277261,C00183,M+H [1+],309.822,0.00016067626098959,EC00067
118.086427933138,C00183,M+H [1+],333.9545,0.000173332137990201,EC00067
118.086437772843,C00183,M+H [1+],280.4565,0.000183171842991214,EC00067
118.086442724548,C00183,M+H [1+],369.3875,0.000188123547985697,EC00067
118.086467687372,C00183,M+H [1+],436.581,0.000213086371985582,EC00067
140.068427737943,C00183,M+Na [1+],283.591,0.000231136943000365,EC00067
140.068427991922,C00183,M+Na [1+],310.326,0.000231390921982211,EC00067
140.068440250314,C00183,M+Na [1+],10.489,0.000243649314001004,EC00068
156.042504817939,C00183,M+K [1+],284.2705,0.000368216938994692,EC00067
113.021096333443,C00184,M+Na [1+],350.5785,0.000184275443004367,EC00069
113.021230850236,C00184,M+Na [1+],438.166,0.000318792236001286,EC00069
91.0388998333437,C00184,M+H [1+],348.515,7.02246562980235e-05,EC00069
91.038935064777,C00184,M+H [1+],438.0865,3.49932230108152e-05,EC00069
102.055105238593,C00188,M-H2O+H [1+],438.685,0.000185612823003112,EC00070
120.065693644224,C00188,M+H [1+],276.913,0.00017448522399377,EC00071
120.065768783934,C00188,M+H [1+],321.358,0.000249624933999826,EC00072
142.047695500211,C00188,M+Na [1+],275.951,0.000234341211012179,EC00071
142.047794461351,C00188,M+Na [1+],314.42,0.000333302351009479,EC00072
177.039453532385,C00191,M-H2O+H [1+],309.321,0.000124391615003105,EC00073
177.039712314402,C00191,M-H2O+H [1+],436.541,0.000383173632002354,EC00074
325.112957449347,C00208,M-H2O+H [1+],277.8195,6.94365770073091e-05,EC00033
325.113120232059,C00208,M-H2O+H [1+],324.472,0.000232219288989199,EC00034
343.123600572039,C00208,M+H [1+],325.041,0.000113026039002762,EC00034
250.093554323498,C00212,M-H2O+H [1+],690.824,0.000123927728026274,EC00075
268.104311453016,C00212,M+H [1+],651.347,0.000281524016031653,EC00075
268.104434268427,C00212,M+H [1+],308.817,0.000404339427007017,EC00076
112.037086789862,C00213,M+Na [1+],274.622,0.000190316861989004,EC00012
90.054866238269,C00213,M+H [1+],322.338,8.82347310096065e-05,EC00012
90.0548831415654,C00213,M+H [1+],292.643,7.13314346114657e-05,EC00012
243.097646467234,C00214,M+H [1+],679.258,9.88992340182904e-05,EC00077
243.097894574749,C00214,M+H [1+],700.7285,0.000347006749024104,EC00077
265.080034570825,C00214,M+Na [1+],700.8575,0.00054500282499248,EC00077
130.050006468106,C00217,M-H2O+H [1+],508.349,0.000172220335997508,EC0003
130.05003235712,C00217,M-H2O+H [1+],275.958,0.000198109349980768,EC0004
130.050047905574,C00217,M-H2O+H [1+],687.9345,0.000213657803982414,EC0005
130.050060936078,C00217,M-H2O+H [1+],339.9925,0.000226688308003986,EC0004
130.050212727512,C00217,M-H2O+H [1+],1052.642,0.000378479741982574,EC0006
148.060858216062,C00217,M+H [1+],279.065,0.000424435062001294,EC0004
170.041721886347,C00217,M+Na [1+],308.787,0.000653894652998588,EC0004
170.04244950864,C00217,M+Na [1+],279.722,7.37276400002429e-05,EC0004
163.060094741005,C00221,M-H2O+H [1+],324.459,3.01582350061835e-05,EC0009
181.071016974499,C00221,M+H [1+],348.586,0.000352858499013564,EC0009
181.071018883403,C00221,M+H [1+],438.0305,0.000354767403024425,EC0009
198.097316033729,C00221,M+NH4 [1+],326.893,0.000104917728975806,EC0009
