feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
mz420.885028040753_rt1725.618	Metabolomics_Round	R3	-1.18822896639726	0.0951549982914817	45	45	9.96021351177318e-16	2.21338078039404e-13
mz164.029267610843_rt313.5055	Metabolomics_Round	R3	1.40742156098842	0.114043381272215	45	45	1.47266099370627e-15	3.20143694283971e-13
mz280.986834016031_rt307.346	Metabolomics_Round	R3	1.30906577623242	0.106208527131382	45	45	1.53597505255176e-15	3.26803202670588e-13
mz130.521782090729_rt1748.143	Metabolomics_Round	R3	-0.759259839626861	0.0622190974959249	45	45	2.13606831131642e-15	4.45014231524255e-13
mz226.116587753975_rt296.7715	Metabolomics_Round	R3	2.51274910474167	0.20908711720439	45	45	3.531513955961e-15	7.20717133869593e-13
mz181.102778518997_rt303.9625	Metabolomics_Round	R3	1.53103848916092	0.127528356543289	45	45	3.65131991344715e-15	7.3026398268943e-13
mz759.57333628695_rt1303.144	Metabolomics_Round	R3	4.10614115774931	0.345372556661401	45	45	5.02033034281061e-15	9.84378498590316e-13
mz276.12364673192_rt1735.125	Metabolomics_Round	R3	-1.44091669328346	0.122623465043462	45	45	7.34355931920788e-15	1.41222294600152e-12
mz264.088468897004_rt314.907	Metabolomics_Round	R3	1.3495168164501	0.115352715388175	45	45	8.47092160876813e-15	1.56868918680891e-12
mz257.186022281431_rt712.5245	Metabolomics_Round	R3	1.13368987577294	0.0968862485930871	45	45	8.41954143441663e-15	1.56868918680891e-12
mz140.980383381011_rt314.047	Metabolomics_Round	R3	1.27713343942306	0.110665791788157	45	45	1.31565928172599e-14	2.39210778495634e-12
mz397.131846469607_rt305.961	Metabolomics_Round	R3	-1.27535623629016	0.110620365926411	45	45	1.35785606912748e-14	2.42474298058479e-12
mz124.087017421015_rt1323.2985	Metabolomics_Round	R3	-0.763047809452734	0.066559864280229	45	45	1.62826280834235e-14	2.85660141814447e-12
