m.z,r.t,p.value,t.score
574.875082857763,260.3185,0.0657606217932045,-4.98391485622164
812.831113654666,260.316,0.0679150979368477,-4.53362627727786
676.856553276199,260.313,0.0679150979368477,-4.29278663686541
582.862395125573,260.317,0.0679150979368477,-4.26343107387575
540.881803780625,260.3135,0.0679150979368477,-4.28854730276683
642.862405527242,260.319,0.0679150979368477,-4.2877946788062
499.904944962151,260.373,0.0679150979368477,-4.25267795982182
854.812344363059,260.313,0.0679150979368477,-4.20643743409024
710.849678114374,260.3215,0.0679150979368477,-4.20829138258123
770.850596341884,260.3155,0.0679150979368477,-4.17072859983477
431.097707546789,819.322,0.0679150979368477,-4.13426835598926
567.892324274759,260.3235,0.0679150979368477,-4.09367835256598
718.837200714687,260.314,0.0679150979368477,-4.06779856971769
608.869288737925,260.314,0.0679150979368477,-4.06973954498233
703.867115180954,260.316,0.0679150979368477,-4.00543792496049
295.942466884956,260.795,0.0679150979368477,-4.00468104415784
294.939041852388,260.795,0.0679150979368477,-3.98401504379436
702.863250652143,260.3165,0.0679150979368477,-4.00544158750003
215.1390773192,311.2765,0.0679150979368477,-4.01820770379736
566.888446790973,260.32,0.0679150979368477,-3.97481380944036
839.842090480808,260.314,0.068007314873674,-3.94593707195946
216.922729423808,1724.649,0.068007314873674,-3.931216173889
634.875812529593,260.317,0.068007314873674,-3.93676204207421
148.935531037574,1724.1645,0.068007314873674,-3.8794734900199
567.390343160727,260.314,0.068007314873674,-3.8597082242094
703.364941447616,260.316,0.068007314873674,-3.8766950441022
804.84408390908,260.316,0.068007314873674,-3.84514850265766
838.837972227559,260.3155,0.068007314873674,-3.85805378802488
430.913713317382,260.3565,0.068007314873674,-3.82464683563358
90.9765182102384,260.825,0.068007314873674,-3.84623766058412
431.917375189794,260.5485,0.068007314873674,-3.8329128785128
854.892354947104,260.292,0.068007314873674,-3.8030570150965
228.955931822049,260.82,0.068007314873674,-3.79333154659373
506.8877799555,260.3175,0.068007314873674,-3.79993277634766
498.901106865856,260.3325,0.068007314873674,-3.77842349723741
771.854624228273,260.3135,0.068007314873674,-3.7706041727576
601.384033271622,260.316,0.068007314873674,-3.77051611502289
188.201091421936,793.52,0.0714285500717405,-3.74186615643475
650.849864605286,260.3165,0.0714285500717405,-3.73576698581868
906.825495996428,260.315,0.0714285500717405,-3.74690334584831
130.521782090729,1748.143,0.0733544704015831,-3.708894209727
514.875062888578,260.3175,0.0733544704015831,-3.69683587513333
226.951607374152,260.821,0.0733544704015831,-3.69457485030558
143.081643206604,1720.044,0.0765499582865051,-3.67240218903343
974.813047814766,260.313,0.0804548687231699,-3.66417501051032
472.89454242913,260.3165,0.0804548687231699,-3.63442686613899
270.7978517035,270.2815,0.0804548687231699,-3.63178827031816
362.926346673693,260.6915,0.0804548687231699,-3.62602106148391
227.955049155115,260.819,0.0812708658420299,-3.61557268359968
218.919881397098,1724.811,0.084919381589895,-3.59371805542772
464.907502180418,260.317,0.0897636331521703,-3.56798753195274
786.906072738303,260.266,0.0969195157588135,-3.53502015943155
446.887695073646,260.32,0.0971584173932425,-3.52762464188195
636.88074948278,260.325,0.105356086313175,-3.486519316689
378.900320804137,260.331,0.105356086313175,-3.47655171099652
778.836712867811,260.319,0.105356086313175,-3.49308919113979
364.930797000207,260.45,0.105356086313175,-3.47388377625742
668.869518873733,260.318,0.105356086313175,-3.46853924887498
351.227400631688,1686.135,0.106555667014993,3.44414288526211
786.824839169748,260.3125,0.106555667014993,-3.45452385443788
532.894860806929,260.315,0.106555667014993,-3.43075231148597
569.865554991563,259.808,0.106555667014993,-3.42703970166972
476.758035086317,267.9235,0.106555667014993,-3.44640356546253
158.874973755292,269.9715,0.106555667014993,-3.41687310892208
577.853072630417,259.317,0.106555667014993,-3.43952344873776
242.925598219515,260.82,0.106555667014993,-3.41422986129963
326.215141583968,1614.461,0.106555667014993,3.41424907100497
158.96423873536,260.822,0.106555667014993,-3.40709409268253
