MouseID	Batch	Promethion_Position	StartDate	StartTime	EndTime	Cycle_Hrs	Day	Cycle	Age_months	Genotype	ID_code	InitMass_g	BP_kPa	TempC	RH_pct	Avg_EE	Tot_EE	Avg_VO2	Avg_VCO2	Avg_RER	Avg_VH2O	R_EE_30	R_RER_30	QR_EE_30	QR_RER_30	Rdur_hrs	A_EE_15	A_RER_15	QA_EE_15	QA_RER_15	Adur_hrs	AccessA_pct	UptakeA_g	UptakeA_N	UptakeA_Sum	UptakeA_min	InterUptakeA_min	UptakeWA_g	UptakeWA_N	UptakeWA_Sum	UptakeWA_min	InterUptakeWA_min	BodyMass_g	BodyMass_SD	YBreaks	XBreaks	ZBreaks	AllMeters	PedMeters	PedSpeed	Walk_pct	Still_pct	Sleep_pct	Sleep_hrs
6193	mB1	3	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6193	.	96.31527	.	.	0.5835029	7.002903	1.946179	1.85819	0.9550779	0.2871848	0.3268804	0.9483493	0.3320164	0.9518828	0.5	0.7718935	0.9441703	0.6490427	0.962725	0.25	0.9550779	0.23466	71	16.66086	3.084507	5.93	0.07054753	67	4.726685	0.9915423	8.918181	0	0	29267	17978	5377	173.7002	126.3576	0.03568716	22.60566	39.41814	25.44785	3.053889
6183	mB1	8	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6183	.	96.31527	.	.	0.5718377	6.86288	1.909948	1.811503	0.9470095	0.3089351	0.3741283	0.9326957	0.3999646	0.9234299	0.5	0.7272632	0.9682145	0.6794993	0.9567297	0.25	0.9470095	0.1819968	76	13.83176	2.152851	6.652444	0.04301123	74	3.182831	0.6923423	8.315068	0	0	25409	9558	6483	166.8355	130.9468	0.0224776	26.25561	71.8627	69.82595	8.380139
6179	mB1	13	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6179	.	96.31527	.	.	0.5723304	6.8688	1.926981	1.758235	0.9112111	0.2519569	0.3324969	0.8859406	0.383859	0.9008487	0.5	0.765989	0.9298302	0.7364916	0.9471392	0.25	0.9112111	0.08783781	52	4.567566	2.363782	9.893137	0.03736389	50	1.868195	1.002	11.76429	0	0	19267	18557	7317	122.0137	92.72675	0.03025359	15.03495	58.05675	40.58927	4.871111
6292	mB1	1	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6292	.	96.31527	.	.	0.5871076	7.046205	1.953412	1.886738	0.9642596	0.3172967	0.3604191	0.9435229	0.5225009	0.9195638	0.5	0.8683465	0.9597464	0.7406102	0.9116288	0.25	0.9642596	0.07188791	61	4.385162	1.634699	9.698889	0.1162837	39	4.535064	1.176068	15.9614	0	0	11986	11903	4779	124.1225	100.3013	0.02602798	16.41439	80.64851	79.5908	9.552083
6182	mB1	9	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6182	.	96.31527	27.88941	43.67396	0.5937832	7.126363	1.986117	1.870795	0.9422232	0.3068997	0.3571433	0.9468607	0.4623827	0.9686766	0.5	0.7735077	0.843552	0.662973	0.9779447	0.25	0.9422232	0.1400091	69	9.660628	2.519082	6.220343	0.0772681	38	2.936188	0.6447368	15.57072	0	0	18883	9089	8200	120.1483	92.47021	0.0295436	14.81739	60.43836	49.97223	5.997222
6192	mB1	6	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6192	.	96.31527	.	.	0.5669336	6.804078	1.887044	1.819214	0.9651307	0.3613383	0.4009968	0.9620797	0.467775	0.982131	0.5	0.7878082	0.975673	0.6948563	0.9822192	0.25	0.9651307	0.1270659	46	5.845031	2.188406	12.61222	0.1075351	45	4.839079	0.8892593	13.97197	0	0	12125	14887	4830	92.54941	64.50394	0.02419796	15.51868	63.60922	49.63431	5.956806
6322	mB2	6	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.5511859	6.614527	1.841673	1.74358	0.9460048	0.2038689	0.381881	0.9349668	0.5345725	0.91578	0.5	0.8274302	0.9655363	0.6831558	0.9507704	0.25	0.9460048	0.09430271	45	4.243622	2.098148	12.10379	0.1044901	29	3.030213	1.221264	17.95893	0	0	9434	5691	3158	63.11594	44.34467	0.02178824	10.69602	83.50346	82.36002	9.883611
6332	mB2	3	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.5371266	6.445908	1.796007	1.694438	0.9404243	0.2159685	0.3353588	0.9529923	0.3756265	0.9115279	0.5	0.8505952	0.9710779	0.6863091	0.9606261	0.25	0.9404243	0.1085924	45	4.886658	3.091111	8.027652	0.06995574	42	2.938141	0.8535714	11.25569	0	0	13504	6499	6807	80.33496	61.70074	0.02714379	10.58954	70.44881	65.08808	7.810833
6329	mB2	4	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.6252103	7.502956	2.107805	1.91077	0.9026749	0.2724172	0.4367251	0.8975294	0.4435266	0.8245209	0.5	0.8080701	0.9434954	0.6913474	0.9447392	0.25	0.9026749	0.09196054	73	6.71312	2.502055	5.72963	0.0516995	56	2.895172	0.5416667	10.27818	0	0	21369	14172	6045	131.2709	90.54028	0.0290553	20.20925	53.40139	38.73805	4.648611
6330	mB2	15	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.6063643	7.276725	2.02939	1.90619	0.9326659	0.2724893	0.3403759	0.859184	0.4696609	0.8852779	0.5	0.8281247	0.9749567	0.7575155	0.9676444	0.25	0.9326659	0.18693	68	12.71124	2.927451	6.604975	0.07035828	52	3.65863	0.7217948	11.83791	0	0	13792	7442	10575	75.6485	52.02402	0.02689143	9.545633	63.22709	58.43112	7.011944
