MouseID	Deriv	S_2MetButyrate	Acetate	Butyrate	Caproate	Isobutyrate	Isovalerate	Propionate	Valerate	weight_CC_g	Extraction_round	Total_SCFA	Total_BCFA
5798	D6	0.470917053742802	21.0753354126679	3.23143661708253	0.044472802303263	0.825282341650672	0.626906617082534	7.62262759117082	0.0940306621880998	0.1042	E2	32.0679030854127	1.92310601247601
5799	D8	0.388680871029836	15.0888875505294	1.84464098171319	0.0367809528392685	0.710685336862368	0.491600563041386	4.98320595283927	0	0.1039	E2	21.9535154379211	1.59096677093359
5800	D5	0.343596895551257	27.14969155706	3.238255	0.0528292166344294	0.799923036750483	0.354890454545454	8.96276254352031	0.115960174081238	0.1034	E2	39.5194984912959	1.4984103868472
5809	D8	0.192068489341983	17.2450356858202	2.18040379981464	0.0381709638554217	0.523148410565338	0.310511042632067	5.97802186283596	0.105007548656163	0.1079	E2	25.5466398609824	1.02572794253939
5810	D10	0.424013978599222	36.1413805544747	3.71318920233463	0.0411712159533074	1.01395550583658	0.481068949416342	9.82829642996109	0.1308415807393	0.1028	E2	49.854878983463	1.91903843385214
5811	D5	0.61159444971537	37.2976811290323	3.35206067362429	0.0343540037950664	1.01877318785579	0.579536489563567	10.4156825047438	0.138577191650854	0.1054	E2	51.2383555028463	2.20990412713472
5812	D3	0.252515156695157	46.2160251661918	5.41712993352327	0.040876220322887	0.612439705603039	0.41368955365622	7.52498094017094	0.101664814814815	0.1053	E1	59.3006770750237	1.27864441595442
5813	D11	0.20405320754717	31.2309980139027	4.08498604766634	0.0451453426017875	0.719458714001986	0.368602467725919	8.34892094836147	0.133133217477656	0.1007	E2	43.8431835700099	1.29211438927507
5814	D11	0.52700659351145	18.9259350954198	2.42044881679389	0.0363265935114504	0.802992261450382	0.644732938931298	5.81163367843511	0.0950632251908397	0.1048	E2	27.2894074093511	1.97473179389313
5846	D13	0.317202436893204	13.0049643398058	1.75874705339806	0.0468766019417476	0.634075757281553	0.447628733009709	4.57081133009709	0.0453613009708738	0.103	E2	19.4267606262136	1.39890692718447
5847	D9	0.230963801980198	22.1771698960396	2.09531952970297	0.0531039405940594	0.638453633663366	0.384709198019802	6.75190701485148	0.0917186930693069	0.101	E2	31.1692190742574	1.25412663366337
5848	D1	0.425365472404116	53.4841445930777	5.40615445743686	0.0660663423760524	1.01133864359214	0.478287909260992	15.1557599111319	0.209797782974743	0.1069	E1	74.3219230869972	1.91499202525725
5849	D15	0.252165098814229	42.2354040909091	4.1410700839921	0.075883557312253	0.697802218379447	0.288847193675889	11.629939194664	0.237347420948617	0.1012	E3	58.3196443478261	1.23881451086957
5850	D7	0.329433945044161	24.5574171050049	3.31342438665358	0.0428688714425908	0.948473390578999	0.474172075564279	8.53326722276742	0.112124210009814	0.1019	E2	36.5591017958783	1.75207941118744
5851	D1	0.270293003875969	34.9278648498062	4.20012351744186	0.0767175726744186	0.725961623062016	0.406453507751938	9.75338025678295	0.13738382751938	0.1032	E1	49.0954700242248	1.40270813468992
5852	D16	0.531546796019901	35.9711384975124	4.71615700995025	0.0638113233830846	0.988361333333333	0.832673736318408	11.2188885124378	0.161293860696517	0.1005	E3	52.1312892039801	2.35258186567164
5886	D12	0.431803383886256	15.9991101184834	2.45582423696682	0.0450641990521327	0.699541085308057	0.547698691943128	5.87716865876777	0.0838997440758294	0.1055	E2	24.461066957346	1.67904316113744
5887	D7	0	31.3846164111328	6.10210284667969	0.05422025390625	0.30521533203125	0.145286123046875	8.11028889160156	0.189777905273438	0.1024	E2	45.8410063085937	0.450501455078125
5888	D4	0.790642325692455	68.0788562559694	11.8139242215855	0.049262664756447	1.7610458930277	1.03959741165234	19.0538166236867	0.337206370582617	0.1047	E1	99.3330661365807	3.59128563037249
5889	D10	0.334789138576779	23.1551539747191	2.55583173689139	0	0.587819049625468	0.453435632022472	8.16501754681648	0.12003186329588	0.1068	E2	33.9960351217228	1.37604382022472
5890	D7	0.42621763030888	13.9281556853282	2.14621417471042	0.0491140637065637	0.593957726833977	0.575386201737452	5.59645385617761	0.110118161196911	0.1036	E2	21.8300559411197	1.59556155888031
5891	D10	0.453833247269116	24.7549944190665	4.77085290963257	0.058568778550149	0.723385983118173	0.550597750744787	8.4193192204568	0.21873543694141	0.1007	E2	38.2224707646475	1.72781698113208
5893	D15	0.865333840931135	27.1206451454898	4.99403302133851	0.0416158292919496	1.2716403685742	1.03951677497575	11.8606909941804	0.227699345295829	0.1031	E3	44.2446843355965	3.17649098448109
5916	D1	0.325391228070175	23.2623170955166	2.12729402534113	0.159675701754386	0.730974356725146	0.463695058479532	6.9102446588694	0.129306783625731	0.1026	E1	32.5888382651072	1.52006064327485
5917	D2	0.407715132743363	32.4913983480826	3.89467540806293	0.0695751425762045	1.07308017699115	0.631432807276303	9.45274083087512	0.133976283185841	0.1017	E1	46.0423660127827	2.11222811701082
5949	D16	0.551823687315634	30.7584287708948	4.43931563421829	0	0.9829501179941	0.744012428711898	7.87863039331367	0.159615939036382	0.1017	E3	43.2359907374631	2.27878623402163
5950	D15	0.482558028301887	16.8048008349057	2.18171138679245	0.0383312169811321	0.655374264150943	0.652698014150943	6.05186418867925	0.144463518867925	0.106	E3	25.2211711462264	1.79063030660377
5951	D2	0.87981034965035	41.4732269180819	7.46454672827173	0.0778147152847153	1.40615428571429	1.06604786713287	14.7181397352647	0.269265404595405	0.1001	E1	64.0029935014985	3.3520125024975
