feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
mz163.034290321924_rt787.9805	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.149466896569464	0.0407712147789279	45	45	0.000777361222771588	0.00813990809184909
mz166.250264562858_rt718.0325	Metabolomics_Round	R3	0.929536646026994	0.0931239937054577	45	45	0.000784121248562892	0.00819258530622755
mz94.5458509076035_rt239.089	Metabolomics_Round	R3	1.15912706391915	0.134082276421081	45	45	0.0007848496723366	0.00819258530622755
mz334.944005691515_rt276.247	Metabolomics_Round	R3	0.94814498808461	0.111074734515282	45	45	0.000783469041916068	0.00819258530622755
mz432.280426510715_rt1091.65	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.520978821744246	0.143407732904705	45	45	0.000788940727017637	0.00821813257310039
mz361.274117894984_rt1103.687	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.369973544560417	0.101834390923855	45	45	0.000788390045642783	0.00821813257310039
mz520.33307627382_rt789.7165	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.114766299415796	0.031349358787007	45	45	0.000791658964037287	0.00823020475195691
mz523.299808200365_rt1760.342	Metabolomics_Round	R3	1.41319011748517	0.151346816879554	45	45	0.000791745697138255	0.00823020475195691
mz349.228206694103_rt1111.435	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.376518908665334	0.103738781672345	45	45	0.000796686062589841	0.00827296015150406
mz278.573052139627_rt307.314	Metabolomics_Round	R3	-2.18197571582963	0.226523971141177	45	45	0.000798037247262332	0.00827839468114452
mz122.022317709366_rt1736.266	Metabolomics_Round	R3	0.716610106116932	0.0899135839868043	45	45	0.000800630846620925	0.00829669271109767
mz295.942466884956_rt260.795	Metabolomics_Round	R3	0.209325996294535	0.0577224982035849	45	45	0.000803828946990097	0.00832121063136746
mz74.5305488341226_rt239.4485	Metabolomics_Round	R3	1.15245046527286	0.142538677742949	45	45	0.000806128157755521	0.00832777022474711
mz244.263790551158_rt1076.437	Metabolomics_Round	R3	-3.06367990276146	0.284939963047717	45	45	0.000806016691619335	0.00832777022474711
mz82.944655432456_rt268.737	Metabolomics_Round	R3	0.195182335893247	0.0538660916426349	45	45	0.000810740419969124	0.00836677419988776
mz449.136700488022_rt308.0745	Metabolomics_Round	R3	-1.28828192543811	0.133560370768596	45	45	0.000812082101150905	0.00837198042423613
mz312.238355161669_rt789.4125	Metabolomics_Round	R3	0.552136923646752	0.152483944017632	45	45	0.000816701506193359	0.00841093209261955
mz134.106976552145_rt642.7745	Metabolomics_Round	R3	0.546030644048575	0.0675665981764603	45	45	0.000819261329798564	0.00842861450410046
mz280.672965719321_rt1753.8095	Metabolomics_Round	R3	1.00972715538645	0.111902975242666	45	45	0.000835680292970836	0.00857707244105738
mz345.240179770936_rt1568.562	Metabolomics_Round	R3	0.58932871552455	0.163121030675406	45	45	0.000836183360593019	0.00857707244105738
mz231.251475686196_rt1119.244	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.566706930829353	0.156889279424972	45	45	0.000837847891517962	0.00857707244105738
mz395.215419811622_rt764.744	Metabolomics_Round	R3	0.787633750151352	0.0957925274876112	45	45	0.000837979977491306	0.00857707244105738
mz575.071995342407_rt336.759	Metabolomics_Round	R3	1.71633679665512	0.205084765212975	45	45	0.000837480718935727	0.00857707244105738
mz770.206448009752_rt1728.268	Metabolomics_Round	R3	-0.357673447250354	0.0991203055275487	45	45	0.000846810142746084	0.00865859041662663
mz280.263854116525_rt1598.916	Metabolomics_Round	R3	-1.90916775554228	0.529204895797071	45	45	0.000848931391238562	0.00867141359794241
mz200.237526088543_rt1017.094	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.736428768509519	0.204175868808516	45	45	0.000850853798273818	0.00868218161503896
mz320.095751117782_rt317.483	Metabolomics_Round	R3	1.38527999554292	0.384290135921137	45	45	0.000855949171551117	0.00872527188125502
mz548.523165815375_rt1574.619	Metabolomics_Round	R3	-1.38918995571939	0.385557220177474	45	45	0.000860191869813378	0.00875182991015375
mz167.070312099257_rt1004.1995	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.348708508806365	0.0967821382940852	45	45	0.000860304880168113	0.00875182991015375
mz518.652633385903_rt269.4155	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.0968765207637138	0.0266589990474506	45	45	0.000863266260212807	0.00877303109972365
mz414.321601987545_rt1136.64	Metabolomics_Round	R3	0.685479671797252	0.190334117638	45	45	0.000864231028885298	0.00877391907497764
mz344.228088645424_rt753.3925	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.124066868780574	0.0341982635775493	45	45	0.000867818606075782	0.00880140574113369
mz247.246228648685_rt955.663	Metabolomics_Round	R3	-0.872051181633456	0.242519970253726	45	45	0.000878528645241483	0.00890099944520246
mz296.146811690034_rt1762.066	Metabolomics_Round	R3	1.42609011440924	0.169475209790526	45	45	0.000881052630999831	0.00890852003033196
mz220.177946829319_rt944.378	Metabolomics_Round	R3	-1.54023782196988	0.428462464510662	45	45	0.000881048697957576	0.00890852003033196
mz83.5359556654764_rt239.089	Metabolomics_Round	R3	1.11487433801464	0.135518567936243	45	45	0.000887193909117625	0.00894348698707283
mz244.191097959461_rt1051.1395	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.712605663650166	0.198336419286928	45	45	0.000885879813263456	0.00894348698707283
mz369.204178659306_rt1110.9155	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.567806839862531	0.15804609638637	45	45	0.000886515677331659	0.00894348698707283
mz240.232547621048_rt1347.634	EE_average_per_hour_residual	EE_average_per_hour_residual	0.383464212498803	0.106086684484844	45	45	0.000893273073501266	0.00899570063948908
mz666.474042415986_rt1691.343	Metabolomics_Round	R3	-0.509426352239661	0.141942079401459	45	45	0.000896042737174703	0.00901451445849802
mz369.283091414455_rt1091.667	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.577325942545764	0.160916545425163	45	45	0.000899259619589675	0.00903778512150428
mz171.043742411814_rt238.614	Metabolomics_Round	R3	1.18890168233132	0.149428965515219	45	45	0.000901416198903231	0.00905036344280353
mz301.205377118275_rt740.3365	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.156353516739973	0.0432966825488187	45	45	0.000904234337920064	0.00906955203530656
mz499.033455365813_rt317.1035	Metabolomics_Round	R3	1.53919721130355	0.166190577835799	45	45	0.000910629308991822	0.00912454217426676
mz116.971837767749_rt1736.1895	Metabolomics_Round	R3	-0.965958443410996	0.120594814791116	45	45	0.000911824464348944	0.00912737201550494
mz95.5452950319603_rt239.574	Metabolomics_Round	R3	1.1411131555928	0.13818463591351	45	45	0.000915048508707648	0.00915048508707648
mz524.929301126234_rt286.1615	Metabolomics_Round	R3	0.559137716526053	0.156138184341262	45	45	0.000916834713841706	0.0091591879504666
mz975.315362911739_rt4.8665	Metabolomics_Round	R3	-0.260539981987392	0.072818150938284	45	45	0.000925062660380162	0.00923216227924314
mz605.423895800234_rt1704.2425	Metabolomics_Round	R3	-0.825884311700866	0.231031011445317	45	45	0.000933595560173594	0.0093080315072143
mz120.526179672829_rt1736.32	Metabolomics_Round	R3	-0.935347897764426	0.119956913000928	45	45	0.000938814240928049	0.00935073945147459
mz118.050343652386_rt318.441	Metabolomics_Round	R3	5.65596853448102	0.717071093741119	45	45	0.000945726513018869	0.00939152445897586
mz608.385611048136_rt801.5055	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.105220540567622	0.0292227006106482	45	45	0.000944350584968187	0.00939152445897586
mz810.597325956365_rt1737.256	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.260896416831398	0.072514304249225	45	45	0.000945401146567658	0.00939152445897586
mz522.801032278627_rt1757.939	Metabolomics_Round	R3	1.42205914966312	0.150323575124084	45	45	0.000954425910578051	0.00946851101763939
mz386.290373316938_rt1046.1215	Metabolomics_Round	R3	-0.91029455077564	0.255513497456127	45	45	0.000966983056882963	0.00958357836355762
mz635.141637581631_rt306.8165	Metabolomics_Round	R3	-1.39098549565204	0.184739314555638	45	45	0.000970233410595854	0.00960627139203816
