feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
mz188.201091421936_rt793.52	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.0673611721751439	0.0407708877956808	45	45	0.106325964107363	0.221411842207626
mz369.543255579495_rt746.585	Metabolomics_Round	R3	0.556954565959388	0.268644280048413	45	45	0.106344107812323	0.221411842207626
mz374.259688987075_rt1367.36	Metabolomics_Round	R3	1.10884405300605	0.54294071468205	45	45	0.106438615817792	0.221562480886329
mz197.007099087364_rt292.6315	Metabolomics_Round	R3	-0.222944153401816	0.135000519797349	45	45	0.106480983442324	0.221604544104732
mz159.076678063375_rt279.013	Metabolomics_Round	R3	0.250156343435327	0.151556615531687	45	45	0.106655792325525	0.221922164639046
mz245.095565553449_rt817.796	Metabolomics_Round	R3	0.518808112571108	0.256821130060151	45	45	0.106911365047744	0.222407666003213
mz388.259769971274_rt1448.3965	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.108556669821711	0.065724943082034	45	45	0.107124010290693	0.222803681968995
mz115.086712773681_rt250.215	Metabolomics_Round	R3	0.247702942664373	0.116374870774143	45	45	0.107304814742398	0.223133322400495
mz926.610032451671_rt1103.3645	Metabolomics_Round	R3	0.924622362548706	0.561342644728821	45	45	0.107359745145516	0.223201133358662
mz297.144664473761_rt703.0175	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.109730562560059	0.0664970717309181	45	45	0.107417772652631	0.223275353674144
mz356.285738818046_rt1700.22	Metabolomics_Round	R3	-0.410549095176201	0.204605757002389	45	45	0.107490807177106	0.223380729794484
mz191.08162507833_rt697.9385	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.141078101125173	0.085542386696601	45	45	0.107734243217126	0.22384010641414
mz660.35684111613_rt822.0915	Metabolomics_Round	R3	0.8054226802243	0.401609012867632	45	45	0.107803742211664	0.223937977174209
mz330.172098963441_rt793.138	Metabolomics_Round	R3	0.452918465430497	0.207677846559508	45	45	0.107874848004159	0.224039144349239
